|job_href|job_title|employer|city|salary|schedule|conditions|responsibilities|education|experience|requirements|placement|job_views_value|job_simple_dis_sec
0|https://joblab.ru/vac10796133.html|Аналитик данных Excel|"ООО ""ВФМ Технолоджи"""|Москва|80 000 — 100 000 руб.|Полный рабочий день|Официальное оформление в соответствии с ТК РФ, Официальная заработная плата, График работы: 52 с 910 до 1819, Место работы: ул.Тверская, д16 с3, Компенсация расходов на обеды|Работа с данными (Excel - основное  PostgreSQL, PowerQuery): - контроль полноты и качества, сравнение данных из разных источников, объяснение разниц, Извлечение, преобразование, загрузка данных и их обработка, Формирование отчетов, визуализация данных, Выстраивание ежедневного контроля и аналитики по эффективности бизнес-процессов, Общение с представителями заказчика, формализация требований к проектам, Формирование гипотез, планирование и проведение экспериментов, Разработка форм и дэшбордов управленческой отчетности (Power BI, Superset, PowerPivot), Подготовка отчетов и ответов на запросы со стороны руководства.|Высшее|От 2 лет|Уверенное владение SQL, применение на ежедневной основе на текущем/прошлом рабочем месте, Уверенное владение Excel (формулы, сводные таблицы, графики), Умение критически мыслить, формулировать и проверять гипотезы, делать выводы, Умение мыслить и действовать вне рамок шаблонов и бюрократии, нацеленность на достижение результата, Решение задачи в автономном режиме, расстановка приоритетов, Способность предлагать план действий, принимать решения и нести ответственность за результат, Стрессоустойчивость, умение работать в сжатых сроках.|17.10.2023 14:04:00|131|
1|https://joblab.ru/vac4762175.html|Программист КИПиА|"ООО ""ГИДРОЗО"""|Краснозаводск|По договоренности|Полный рабочий день|Оформление по ТК, Условия заработной платы обговариваются на собеседовании, Место работы может быть г Москва или МО г Краснозаводск.|Работать с сложным оборудованием ., Программировать.|Высшее|От 5 лет|"Знать и Уметь , Программирование PLC ПЛК ""с нуля"" на контроллерах ведущих производителей: Siemens, ABB, Omron, Allen Bradley (Rockwell Automation), Beckhoff, Schneider, Разработка SCADA-систем (Siemens, ABB, SE, National Instruments), создание интерфейса HMI, конфигурация баз данных SQL, Конфигурирование промышленных протоколов и сетей (Profibus, Industrial Ethernet, CANopen, Modbus. IEC61850), программирование контроллеров PLC (LONIX, LonArena, протокол LON (технология LonWorks), Johnson Controls DX, CAREL , PIXEL Segnetics, ОВЕН (протокол ModBus), Контар МЗТА, Трансформер, RealLab., программирование SCADA-систем (диспетчеризация), разработка проектов (GENESIS32 V8, V9, MasterSCADA, TRACE MODE 6, COBA, Metasys), систем управления зданием (BMS), проектирование и сборка щитов автоматики, знание электрических схем, поиск и устранение неисправностей,, подключение и наладка частотных преобразователей,, обслуживание и наладка систем автоматического пожаротушения (Спрут),, наладка систем АСКУЭ (Автоматизированная система контроля и учета энергоресурсов) ПО Энфорс Энергия,, обслуживание узлов учета тепловой энергии, снятие протоколов, программирование электросчетчиков Меркурий 230 (Инкотекс), системы диспетчеризации лифтового оборудования (Обь)., IV группа по электробезопасности,, знание компьютера на уровне системного администратора, резервирование и восстановление данных, ограничение доступа рабочего персонала к ПО, локальные сети, лицензирование), работа с оборудованием Grundfos, WILO, Danfoss, Johnson Controls, Echelon, MOXA, Тритон, чиллерами YORK, Carrier, сухими охладителями Guentner., дополнительно знание программ: AutoCAD, ArchiCAD, Acronis, VMware Workstation, MS Office и др."|17.10.2023 14:01:00|2594|
2|https://joblab.ru/vac10779778.html|Специалист технической поддержки|"ООО ""ТрансКом"""|Видное|45 000 — 60 000 руб.|Сменный график||Технические консультации абонентов компании по телефону и в офисе., Умение работать с технической документацией|Среднее|Не требуется|Дисциплинированность, собранность, пунктуальность, желание учиться новому., Предпочтительно: умение работать с ОС Windows, настройка роутеров.|17.10.2023 13:57:00|103|
3|https://joblab.ru/vac6971936.html|Монтажник слаботочных сетей (Специалист службы подключений)|"ООО ""ТрансКом"""|Видное|60 000 — 80 000 руб.|Полный рабочий день|Полный рабочий день., Работа в г. Видное в динамично развивающейся телекоммуникационной компании., Зарплата выплачивается стабильно, без задержек., Оформление согласно ТК РФ. От метро Домодедовская и Кантемировская ходят маршрутки и автобусы (время в пути - 30 мин)., Полный рабочий день, на территории работодателя|Обязанности:, Организация работ и прокладка слаботочного кабеля в домах, монтаж и настройка систем оконечного сетевого оборудования абонента (роутер, приставка цифрового ТВ и настройка ПК)., Возможные задачи:, Протяжка и укладка кабеля до квартиры абонента (витая пара), Настройка и проверка интернет соединения, Настройка оборудования, необходимого для предоставления услуги (модемы, роутеры и тв декодеры), Демонстрация и проверка подключенных услуг, подписание документов с абонентом.|Среднее специальное|От 1 года|Продвинутый пользователь ПК (переустановка операционной системы, установка доп. ПО),, Желательно проживание в г. Видное или районе Бутово, Бирюлево-Восточное, Подольск,, г. Домодедово, в г. Москва - вблизи станций метро Домодедовская и Кантемировская (чтобы было удобно добираться до места работы), на юге г. Москвы., Базовые знание работы с ПК, начальное знание интернет технологий., Опыт работы желателен., Вежливость, Порядочность, Пунктуальность., Умение работать с оптическим волокном (разделка ВОК, сварка, тестирование), Дополнительно: , Опыт работы с оптоволоконными сетями (сварка, диагностика) приветствуется., Базовые знания персонального компьютера (windows, интернет, офис)., Готовность к кратковременным рабочим командировкам (обязательно), Водительские права Категория B (желательно)|17.10.2023 13:56:00|977|
4|https://joblab.ru/vac11205450.html|Специалист информационной безопасности|"ООО ""ТСКОМ-ПРОЕКТ"""|Краснодар|от 50 000 руб.|Полный рабочий день|Полный рабочий день, Испытательный срок - 3 месяца, Командировки, Официальное трудоустройство, Заработная плата + бонусы., Адрес, Краснодар, улица Селезнева, 112|Проведение анализа и аудита информационных систем и систем защиты информации в части соответствия обеспечения требованиям законодательства в области защиты информации, Проведение обследования процессов обработки и обеспечения безопасности персональных данных, Разработка моделей угроз и нарушителей безопасности информации, Разработка организационно-распорядительной документации по защите информации, Участие в разработке и внедрении организационных и технических мер по обеспечению защиты информационных систем, Мониторинг использования информационных ресурсов, Анализ требований к процессу управления доступом, Администрирование, контроль и документальное сопровождение СКЗИ, Проведение инструментального анализа систем защиты конфиденциальной информации, Участие в расследовании инцидентов ИБ, Оформление документации по результатам проектирования и испытаний систем защиты информации, Непосредственное участие в реализации проекта, Осуществление авторского надзора на всех этапах проекта, Составление отчетности о проделанной работе, согласно ТЗ.|Высшее|От 3 лет|Наличие высшего образования в сфере информационной безопасности., Знание правовых основ защиты информации и стандартов в области информационной безопасности (ФЗ 63, 149, 152, 187 ППр 127, 313, 687, 1119 приказы ФСТЭК № 17, 21, 31, 55, 227, 235, 236, 239 ПКЗ-2005 приказ ФАПСИ № 152, приказ ФСБ №378 и др.), Знание правил оформления документации в соответствии с национальными стандартами (ГОСТ 2.105-95, ГОСТ 7.32-2001), Желательно знание методов и средств защиты информации (межсетевые экраны, системы обнаружения вторжений, средства анализа защищенности и т.д.), Знание основных типов уязвимостей и распространенных видов атак, Наличие профильных сертификатов является преимуществом, Мониторинг и реагирование на инциденты ИБ, Знание базовых сетевых технологий (стек протоколов TCPIP, IPSEC, DNS, DHCP, маршрутизация и т.п.)|17.10.2023 13:55:00|1|
5|https://joblab.ru/vac10760432.html|Мастер-приемщик по ремонту сотовых телефонов|ИП Бакатин М.В.|Щелково|50 000 — 80 000 руб.|Полный рабочий день|Стабильно работающему сервисному центру с постоянным потоком клиентов требуется Мастер-приемщик с опытом или без опыта работы (возможно обучение за счет сервиса под руководством опытного наставника). , Форма и своевременные выплаты без задержек гарантируем. Размер оплаты обсуждается. Ограничение по заработку нет. Официальное трудоустройство., Сервис с лучшими отзывами в интернете и репутацией у жителей города. Точка ремонта работает более 5 лет. Из дополнительных плюсов есть оборудование для переклейки и запчасти приходят каждый день. , Полностью оборудованное рабочее место, а также есть возможность расширения.|Обязанности: ремонт телефонов, прием и оформление заказов., Условия: 5/2, с 10 до 23|Среднее специальное|Не требуется|Требования: желателен опыт работы, коммуникабельный, вежливый, возможно обучение.|17.10.2023 13:55:00|120|
6|https://joblab.ru/vac10973273.html|Преподаватель информатики в школу программирования|ИП Бакатин М.В.|Щелково|45 000 — 100 000 руб.|Подработка|Условия работы и оплаты:, Время работы: с 09:00 до 19:00 (суббота или воскресенье на выбор или оба дня), Условия оплаты: от 45 000 рублей (600 р. в час)., Что Вас ожидает:, Команда молодых профессионалов, которая участвует в создании нового интеллектуального общества, Рост вместе с компанией. Участие в мероприятиях федерального и международного уровня, Заработная плата зависит от учебной нагрузки и количества проведенных мероприятий., Мы предоставляем:, Модный, востребованный и актуальный продукт в сфере кибер-образования для детей, Работу в составе прогрессивной команды профессионалов, Полезный опыт от международной компании, Обучение основам работы с детской и подростковой аудиторией, Методические пособия с подробной инструкцией на каждый урок, Возможность обучаться и общаться с лидерами отрасли IT (Федеральный и международный уровень, в том числе представители Силиконовой Долины).|Обязанности:, Требуется на постоянную работу преподаватель (наставник-тьютор) в Первую международную КиберШколу будущего для нового IT-поколения., Обязанности:, Транслирование программ КиберШколы по методическим пособиям и передача практического опыта для нового IT-поколения от 6, Участие в промо-мероприятиях и конференциях.|Среднее специальное|Не требуется|Требования:, Знание базовых основ компьютерной грамотности, Знание алгоритмизации, Знание основ языков программирования, Умение разбираться с методикой и платформами в соответствии с инструкцией, Знание одного или нескольких языков программирования, Высшее или неоконченное высшее образование в сфере IT, Обучаемость, желание получать новые знания, При отклике на вакансию, просим указать мотивацию, почему Вам интересно развивать КиберШколу цифровых технологий для детей.|17.10.2023 13:55:00|114|
7|https://joblab.ru/vac7943118.html|Программист 1С /УПП|"ООО ""Бирони"""|Мытищи|По договоренности|Полный рабочий день|работа в динамично развивающейся торгово- производственной компании, место работы - р.п. Пироговсий Мытищинский район, график работы 5/2 (с 9.00 до 18.00), оформление по ТК РФ|Поддержка и администрирование баз ERP, ЗУП, БУХ, Решение задач, в т.ч. нетиповых, Исправление ошибок учета, Создание и настройка обмена между базами, Разработка отчетов и печатных форм, Работа с расширениями, Консультация пользователей.|Высшее|От 3 лет|Опыт разработки на платформе 1С:8.3, Опыт работы с конфигурациями ERP, Умение работать в команде, Знание механизмов обмена данными с другими системами, Опыт доработки и знание на уровне разработчика предметных областей, Бухгалтерский учет, Производство, склад, Сертификаты 1С.|17.10.2023 13:54:00|112|
8|https://joblab.ru/vac11176477.html|ИТ-специалист|"ООО ""ХАТБЕР-М"""|Черноголовка|60 000 — 75 000 руб.|Полный рабочий день|Работа в крупной, стабильной производственной компании., Трудоустройство согласно ТК РФ., Полностью белая зарплата., График работы: 5/2 с 9.00 до 18.00.|Сборка, диагностика и ремонт персональных компьютеров., Установка и настройка программного обеспечения (Windows, офисный пакеты, клиент-банки, КриптоПро, Контур, настройка сертификатов, ЭДО и пр.)., Знание сетевых технологий., Настройка и установка сетевого оборудования (маршрутизаторы, коммутаторы), сопровождение ЛВС организации, монтаж СКС., Начальные знания технологии администрирования серверов (AD, Terminal Server, MSSQL, File Server, DHCP, PostgreSQL)., Знание операционных систем Linux, nix приветствуется., Подбор, закупка и ввод в эксплуатацию нового оборудования., Поддержка производственного оборудования связанного с ИТ.|Среднее специальное|От 1 года||17.10.2023 13:49:00|7|
9|https://joblab.ru/vac3630800.html|Главный специалист по защите информации (автоматизированные системы управления)|"ФГУ ""Центральная объединенная база хранения"""|Балашиха|от 40 000 руб.|Полный рабочий день|Гарантируется: стабильная заработная плата, проезд к месту работы и обратно на служебном автотранспорте в пределах г..Балашиха, надбавка за выслугу лет. Полное соблюдение трудового законодательства., Пятидневка: пн.-чт. с 9-00 до 18.00, пт. с 9-00 до 16.45.|"Контролировать работу средств технической защиты информации и проверять правильность обращения с ними. Закомиться с приказами, распоряжениями, инструкциями, письмами и иными документами, содержащими сведения, составляющие государственную тайну с грифом ""совершенно секретно"", ""секретно"", с пометкой ""для служебного пользования"" и использовать их в работе."|Высшее|От 1 года||17.10.2023 13:47:00|1019|
