job_href|job_title|employer|city|salary|schedule|conditions|responsibilities|education|experience|requirements|placement|job_views_value|job_simple_dis_sec
https://joblab.ru/vac2476594.html|Системный администратор|"ООО ""Текстиль М"""|Ногинск|от 60 000 руб.|Полный рабочий день|Оформление согласно ТК РФ., Полный рабочий день 5/2 с 9-00 до 17-30 (суббота и воскресенье - выходные) Конкурентная заработная плата и комплексный пакет социальных льгот., Возможности для профессионального роста и развития., Работу в дружной и инновационной команде., Современное рабочее место и комфортные условия работы.|Установка, настройка и обслуживание серверного оборудования и программного обеспечения., Мониторинг и обеспечение стабильной работы серверов, сетевого оборудования и инфраструктуры., Решение проблем в области сетевой безопасности, включая антивирусную защиту, брандмауэры и прокси-серверы., Управление и обслуживание баз данных, резервное копирование и восстановление данных., Поддержка пользователей, решение их проблем и запросов в области IT., Управление компьютерным парком, включая установку, обновление и настройку программного обеспечения, контроль над оборудованием и решение проблем.|Высшее|От 3 лет|Опыт работы системным администратором не менее 3 лет., Глубокие знания операционных систем, включая Windows Server., Опыт работы с виртуализацией, такой как VMware или Hyper-V., Знание сетевых протоколов и технологий, включая TCP/IP, DNS, DHCP., Умение настраивать и обслуживать сетевое оборудование, такое как маршрутизаторы и коммутаторы., Навыки в области обеспечения безопасности сети и информации., Опыт работы с управлением компьютерным парком не менее 50 устройств., Опыт работы с системами мониторинга и резервного копирования данных., Знание основ IP-телефонии и соответствующего программного обеспечения., Умение анализировать и решать проблемы эффективно., Коммуникабельность и умение работать в команде.|18.10.2023 08:56:00|181|
https://joblab.ru/vac11206323.html|DevOps инженер|КСК-Эксперт|Москва|150 000 — 200 000 руб.|Полный рабочий день|Компания - лидер на рынке производства смазочных материалов приглашает в свою команду ведущего системного инженера для работы в аккредитованном IТ-подразделении. Место работы - г. Обнинск, Калужская область (90 км от Москвы). Компания помогает с релокацией, компенсирует аренду жилья., Что мы предлагаем:, Зарплата: 200 000 рублей, Формат работы: в офисе, график работы 5/2., Компенсация аренды жилья, помощь в релокации в г. Обнинск., Дружный профессиональный коллектив, Официальное трудоустройство и все социальные гарантии., Присоединяйтесь к нашей команде, чтобы реализовать свой потенциал и работать над интересными задачами.|Задачи, которые предстоит решать:, Создание, администрирование и эксплуатация корпоративной сети., Мониторинг работоспособности сети., Диагностика, устранение сбоев, обеспечение бесперебойной работы., Подготовка и ведение проектов., Подготовка документации.|Высшее|От 3 лет|От Вас ожидаем:, Опыт построения отказоустойчивой инфраструктуры - стекирование, MLAG, LACP и т.д., Опыт построения и работы с multiarea OSPF + iBGP., Опыт проектирования ядра сети, для работы с multiarea OSPF + iBGP., Опыт настройки PBR для BGP - балансировка трафика между провайдерами и отработка отказа провайдеров предоставляющих выход в интернет., Опыт создания сетей VPN site to site, client to site. GRE + IPSec, L2TP + IPsec., Опыт работы с Wi-Fi контроллерами, настройка конечных точек Wi-Fi., Опыт в автоматизации настройки сетевого оборудования., Опыт работы с Ansible., Опыт работы с DHCP., Опыт работы с Radius., Опыт работы с оборудованием Extreme Networks (Lan, Wi-Fi), fortinet., Опыт работы с сетями АСУТП., Понимание работы NAT.|18.10.2023 08:56:00|1|
https://joblab.ru/vac11206322.html|1С программист (Middle)|КСК-Эксперт|Обнинск|200 000 — 250 000 руб.|Полный рабочий день|Мы ищем опытных разработчиков 1С для присоединения к нашей команде. , Преимущества работы у нас:, Работа в крупной компании - лидере на российском рынке смазочных материалов., Трудоустройство в аккредитованном ИТ-подразделении, все преимущества аккредитованной ИТ-компании., Участие в масштабном проекте внедрения 1С:ERP в крупом промышленном предприятии., Возможность разрабатывать новый функционал и дорабатывать конфигурации 1С:УПП, 1С:ЗУП, а затем ERP., Мы предлагаем:, Белая заработная плата до 250 000 рублей., Комфортный офис, оборудованное рабочее место. Гибридный график после испытательного срока., Профессиональный коллектив., Официальное трудоустройство по ТК РФ, все социальные гарантии., Бонусы и скидки на продукцию компании., Место работы: г. Обнинск (компания оплачивает ежемесячную аренду жилья)., Присоединяйтесь к нашей команде для работы над интересными задачами в области 1С.|Работа с интеграционными решениями между базами 1С и другими системами., Работа в качестве технического эксперта в команде с аналитиками и консультантами, составление технических заданий.|Высшее|От 3 лет|Мы ожидаем:, Опыт работы с конфигурациями 1С:УПП или 1С:ЗУП., Желательно иметь опыт программирования на платформе 1С:ERP., Знание механизмов обмена данными между конфигурациями 1С и другими системами., Умение писать запросы на MS SQL.|18.10.2023 08:55:00|1|
https://joblab.ru/vac598222.html|Программист 1С|"ООО ""Королевский трубный завод"""|Москва|от 150 000 руб.|Полный рабочий день|Место работы-г. Ивантеевка (Московская область), , оформление по ТК, заработная плата без задержек. , график работы 9-00 до 18-00.|Разработка программного кода в соответствии с техническими заданиями в информационных системах 1С УТ 10.3, 1С Предприятие 8.2 wmsTopLog., Написание технических заданий на разработку программного обеспечения, Подготовка регламентов, инструкций по работе в программных системах Компании, Устранение инцидентов в работе систем 1С Компании., Консультации и обучение пользователей Компании по системам 1С, Выработка предложений по оптимизации программной архитектуры Компании, Проведение нагрузочного и функционального тестирования программного обеспечения Компании.|Высшее|От 3 лет|Высшее образование (техническое, инженер-программист), желательно., Доп.образование: Сертификаты 1С (специалист, профессионал) по указанным системам, желательно., Опыт работы по специальности от 3 лет., Английский технический - средний уровень., Проактивность., Честность., Хорошие коммуникативные навыки, клиентоориентированность., Высокая работоспособность, стрессоустойчивость.|18.10.2023 08:55:00|9|
https://joblab.ru/vac11206320.html|1С программист (Middle)|КСК-Эксперт|Санкт-Петербург|200 000 — 250 000 руб.|Полный рабочий день|"Мы ищем опытных разработчиков 1С для присоединения к нашей команде. , Преимущества работы у нас:, Работа в крупной компании - лидере на российском рынке смазочных материалов., Трудоустройство в аккредитованном ИТ-подразделении, все преимущества аккредитованной ИТ-компании., Участие в масштабном проекте внедрения 1С:ERP в крупом промышленном предприятии., Возможность разрабатывать новый функционал и дорабатывать конфигурации 1С:УПП, 1С:ЗУП, а затем ERP., Мы предлагаем:, Белая заработная плата до 250 000 рублей., Комфортный офис, оборудованное рабочее место. Гибридный график после испытательного срока., Профессиональный коллектив., Официальное трудоустройство по ТК РФ, все социальные гарантии., Бонусы и скидки на продукцию компании., Место работы:, г. Санкт-Петербург, станция метро ""Парнас""., Присоединяйтесь к нашей команде для работы над интересными задачами в области 1С."|Работа с интеграционными решениями между базами 1С и другими системами., Работа в качестве технического эксперта в команде с аналитиками и консультантами, составление технических заданий.|Высшее|От 3 лет|Мы ожидаем:, Опыт работы с конфигурациями 1С:УПП или 1С:ЗУП., Желательно иметь опыт программирования на платформе 1С:ERP., Знание механизмов обмена данными между конфигурациями 1С и другими системами., Умение писать запросы на MS SQL.|18.10.2023 08:53:00|1|
https://joblab.ru/vac10374474.html|Программист 1C|"ООО ""НПК ""Каригуз"""|Ступино|По договоренности|Полный рабочий день|Официальное оформление согласно ТК РФ, Время работы: с 8.00 до 17.00, Стабильная заработная плата и премии по результатам работы, Работа на современном высокотехнологичном предприятии в профессиональном коллективе, Стабильность и социальная защищенность, Реальная возможность профессионального и карьерного роста, Корпоративное обучение и тренинги, Бесплатный корпоративный транспорт (г.Кашира, г.Озеры, г.Ступино), Подарки для сотрудников к праздникам, Отличные скидки на весь ассортимент продукции|Доработка конфигураций, Реализация доработок в соответствии со стандартами разработки, Участие в тестировании, Написание новых отчетов, обработок, Разработка обменов данными между 1С и внешним ПО, Обновление доработанных конфигураций, Консультирование и обучение пользователей|Высшее|От 1 года|Высшее образование (желательно профильное)., Знание встроенного языка 1С ., Опыт работы с 1С от года ., Знание типовых конфигураций (УПП, БП 3.0, ЗУП, Розница, УТ 11, Документооборот), Знание языка запросов, Знание СКД, Умение писать правила обмен с помощью конфигураций 1С: КД 2.0/3.0, Знание универсальных механизмов обмена данными, Умение программировать на управляемых формах, Понимание клиент-серверного взаимодействия, Опыт работы с БСП, Умение работать с чужим кодом, Умение работать с хранилищем конфигураций, Знание методик разработки, Способность работать в команде, Навыки оптимизации кода|18.10.2023 08:53:00|399|
https://joblab.ru/vac10521195.html|Помощник системного администратора WMS|"ООО ""Морозко"""|Воскресенск|от 45 000 руб.|Полный рабочий день|Место работы: г. Бронницы, Кирпичный проезд, д.7, График работы 5/2 с 9:00 до 18:00 или с 8:00 до 17:00, Оформление по ТК РФ, Льготное питание и собственная столовая, Скидки на выпускаемую продукцию.|Настройка, мелкий ремонт и диагностика терминала сбора данных (ТСД), Настройка и поддержание работоспособности складских Wi-Fi сетей, Работа в программе 1С: WMS AXELOT, Настройка, ремонт и диагностика термотрансферных принтеров Zebra и Godex.|Среднее|Не требуется|Ответственность, исполнительность, обучаемость., Мы предлагаем отличное обучение для новичков с дальнейшим карьерным ростом и выходом на рынок настоящими профессионалами!|18.10.2023 08:53:00|793|
https://joblab.ru/vac11118551.html|Начинающий специалист Service Desk|Экомобайл|Зеленоград|от 40 000 руб.|Полный рабочий день|"Компания Экомобайл - сервис-провайдер сотовой связи с 2002 г., Мы помогаем людям оставаться на связи со своими близкими. Для этого мы создаем эксклюзивные тарифные планы на базе сетей билайн, ""МТС"", ""МегаФон"" и ""Теле2"", а также предоставляем круглосуточное обслуживание (техническое сопровождение) Абонентов Компании., Как мы заботимся о своих сотрудниках?, Во-первых, наша Команда - самый ценный ресурс Компании. Это гарант нашего общего успеха, поэтому для своих сотрудников мы предлагаем лучшие условия:, Комфортный офис в центре Зеленограда. На кухне кофемашина, снеки., Официальное оформление в штат., Сменный график работы. Поэтому ты можешь заранее планировать свои выходные и все успевать., У нас есть свои традиции. Например, ежегодные корпоративы, поздравления коллег с днем Рождения и совместные бизнес обеды/ужины в рамках отдела. Потому что для нас это важно., Всегда поощряем тех, кто хорошо работает."|Обработка входящих обращений из различных каналов (корп. почта, мессенджеры) от партнеров Компании (юр. лиц), создание заявок и назначение исполнителей, определение приоритета исполнения заявок, контроль сроков исполнения заявок.|Среднее специальное|Не требуется|Внимательность и аналитический склад ума., Уверенное владение MS Excel, CRM., Наличие технического образования рассматривается как преимущество.|18.10.2023 08:52:00|20|
https://joblab.ru/vac9644606.html|Программист/разработчик 1С|"АО ""Озерская Промышленная Компания"""|Озеры|от 170 000 руб.|Полный рабочий день|Трудоустройство в соответствии с ТК РФ (оплачиваемый отпуск, своевременная, официальная заработная плата), график работы 5/2 с 08:00 до 17:00, корпоративный транспорт из г. Коломна|"Администрирование пользователей, ведение разработки на платформах ""1С:Предприятие 8.2 и 8.3"" в команде по полученным заданиям и сформулированным по заявкам от пользователя, поддержание нескольких баз данных на доработанных конфигурациях УПП 1.3 в работоспособном состоянии, обновление нетиповых конфигураций УПП 1.3, переход на ERP 2.5, консультационная поддержка пользователей по вопросам отражения в программе -типовых учетных операций согласно внутреннего регламента, оперативное выяснение и устранение ошибок."|Высшее|От 2 лет|Платформа 1С 8.3 (встроенный язык, язык запросов, технологии обмена данными), Опыт работы с 1C 8.3 ERP 2.4 (2.5) (желательно), навык работы с типовой конфигурацией УПП 1.3 или Комплексная Автоматизация, УТ, знание основ построения производственного цикла в конфигурации УПП 1.3, бухгалтерского и налогового учета., опыт работы более 2-х лет.|18.10.2023 08:51:00|266|
https://joblab.ru/vac10715301.html|Инженер технической поддержки / HELPDESK|"АО ""Фирменный Торговый Дом Царицыно"""|Москва|от 64 000 руб.|Сменный график|Место работы: Царицыно, Кантемировская: Кавказский бульвар, 58 с1, Белая заработная плата, Оформление по ТК РФ, оплата б/л, отпуска, График работы: 1/3 (сутки-трое), Столовая на территории предприятия, Охраняемая парковка.|Регистрация и отслеживание запросов пользователей в системе управления инцидентами и обращениями, Решение инцидентов (1 линия поддержки), включая инциденты и помощь при работе с бизнес-приложениями, Разработка и обновление пользовательских и внутренних инструкций, документации, Оказание помощи пользователям при обращении удаленно и на месте, Сопровождение видеоконференций, Сопровождение оргтехники (установка, настройка, замена расходных материалов, выявление неполадок, выполнение регламентных работ), Создание учетных записей новых пользователей в домене, почте, Диагностика и мелкий ремонт компьютерного оборудования и оргтехники, Подготовка, установка и настройка рабочих мест, программного обеспечения, Контроль наличия и замена расходных материалов, Взаимодействие с сотрудниками управления ИТ компании, эскалация запросов, Выполнение поручений группы системных администраторов.|Среднее специальное|От 1 года|Высшее или среднее специальное образование по профилю ИТ., Опыт работы от двух лет в аналогичной должности., Базовые знания AD, DHCP, TCP/IP, LAN, GPO, MS-SQL, Wi-Fi, компьютерного железа и операционных систем на базе OS семейства Microsoft., Базовые знания серверных операционных систем Microsoft Windows Server 2008 - 2016., Знания продуктов Microsoft MS Office 2013, 2016, стандартных офисных программ., Понимание базовых принципов работы сетевого оборудования и внутреннего устройства компьютерной сети., Опыт работы с MS Axapta 3, 9. - будет преимуществом, 1С УВС - на уровне пользователя., Опыт выстраивания конструктивного взаимодействия с людьми, умение ясно излагать свои мысли., Знать порядок ведения и оформления технической документации, инструкций., Иметь базовые знания английского языка, достаточные для чтения технической литературы с использованием автоматизированных переводчиков., Навык структурированного изложения своих мысли. Грамотная речь., Навык проведения технической диагностики неисправности, описания взаимосвязей неисправности для эскалации инцидентов.|18.10.2023 08:50:00|216|
