job_href|job_title|employer|city|salary|schedule|conditions|responsibilities|education|experience|requirements|placement|job_views_value|job_simple_dis_sec
https://joblab.ru/vac11206409.html|Инженер по технической поддержке (Системный администратор IT отдела)|"ООО ""Глобал Трак Сервис Пушкино"""|Горки Ленинские|от 65 000 руб.|Полный рабочий день|"Открывается новая станция по ремонту и обслуживанию грузовых автомобилей., Место работы: г. Домодедово, мкр-н Белые Столбы. Индустриальный парк ""Южные Врата"", стр. 38, склад 104, График работы 5/2 с 9:00 до 18:00, Столовая на территории предприятия., Оформление по ТК РФ."|Установка на серверы и рабочие станции сетевого программного обеспечения, Конфигурация системы на сервере, Обеспечение интегрирования программного обеспечения на файл-серверах, Поддержание рабочего состояния программного обеспечения сервера и рабочих станций, Регистрация пользователей, назначение идентификаторов и паролей, контроль использования сетевых ресурсов, Обеспечение своевременного копирования и резервирования данных, Участие в восстановлении работоспособности системы при сбоях и выходе из строя сетевого оборудования, Проведение мониторинга сети, разработка предложений по развитию инфраструктуры сети, Выполнение служебных поручений своего непосредственного руководителя.|Среднее|От 1 года|Грамотность, ответственность, исполнительность|18.10.2023 09:31:00|1|
https://joblab.ru/vac11206407.html|Инженер по технической поддержке (Системный администратор IT отдела)|"ООО ""Глобал Трак Сервис Пушкино"""|Видное|от 65 000 руб.|Полный рабочий день|"Открывается новая станция по ремонту и обслуживанию грузовых автомобилей., Место работы: г. Домодедово, мкр-н Белые Столбы. Индустриальный парк ""Южные Врата"", стр. 38, склад 104, График работы 5/2 с 9:00 до 18:00, Столовая на территории предприятия., Оформление по ТК РФ."|Установка на серверы и рабочие станции сетевого программного обеспечения, Конфигурация системы на сервере, Обеспечение интегрирования программного обеспечения на файл-серверах, Поддержание рабочего состояния программного обеспечения сервера и рабочих станций, Регистрация пользователей, назначение идентификаторов и паролей, контроль использования сетевых ресурсов, Обеспечение своевременного копирования и резервирования данных, Участие в восстановлении работоспособности системы при сбоях и выходе из строя сетевого оборудования, Проведение мониторинга сети, разработка предложений по развитию инфраструктуры сети, Выполнение служебных поручений своего непосредственного руководителя.|Среднее|От 1 года|Грамотность, ответственность, исполнительность|18.10.2023 09:31:00|1|
https://joblab.ru/vac7640092.html|Программист|"ООО ""ЖИВЫЕ ДИВАНЫ"" (MOON)"|Электросталь|По договоренности|Полный рабочий день|График работы: 5/2 с 09.00 до 18.00., Оформление по ТК РФ., Официальная заработная плата.|Разработка программного обеспечения на языке программирования Delphi с использованием СУБД Oracle и Firebird.|Высшее|От 3 лет|Опыт работы программистом: от 3-ех лет., Знание СУБД Oracle и языка PL/SQL., Знание Delphi и компонент: DevExpress, FastReport, ODAC, FIBPlus., Знание СУБД Firebird - желательно.|18.10.2023 09:31:00|144|
https://joblab.ru/vac10139705.html|Программист|"ООО ""ЖИВЫЕ ДИВАНЫ"" (MOON)"|Ногинск|По договоренности|Полный рабочий день|Производственная компания MOON - крупнейший российский производитель мягкой мебели предлагает профессионалам, желающим получить богатый опыт и развитие, стать частью нашей команды., Безупречная репутация компании, социальные гарантии и конкурентная заработная плата делают MOON привлекательным работодателем для профессионалов любого уровня. В связи с развитием компании мы открываем вакансию: ПРОГРАММИСТ., Уровень заработной платы обсуждается с успешным кандидатом., График работы: 5/2 с 09.00 до 18.00., Офис: г. Ногинск (удаленку не рассматриваем)., Оформление по ТК РФ., Официальная заработная плата.|Разработка программного обеспечения на языке программирования Delphi с использованием СУБД Oracle и Firebird.|Высшее|От 3 лет|Опыт работы программистом: от 3-ех лет., Знание СУБД Oracle и языка PL/SQL., Знание Delphi и компонент: DevExpress, FastReport, ODAC, FIBPlus., Знание СУБД Firebird - желательно., Отсутствие частой смены мест работы.|18.10.2023 09:31:00|179|
https://joblab.ru/vac10818325.html|Программист 1С|"ООО ""ГЭХ Благоустройство регионы"""|Москва|По договоренности|Полный рабочий день|Работа в крупной развивающейся компании, Официальное трудоустройство согласно ТК РФ, испытательный срок 3 месяца, График работы 5/2, суббота, воскресенье - выходные дни, 8-ми часовой рабочий день, Наличие социального пакета (ДМС после испытательного срока, абонемент в фитнес-клуб), Место работы - г. Москва, ул. Бакунинская, д.71, ближайшие метро - Бауманская, Электрозаводская.|Сопровождение, доработка, обновление доработанных конфигураций 1С:ЗУП КОРП 3.1, 1С:Бухгалтерия КОРП 3., Взаимодействие с внутренними заказчиками для формализации требований, ведение документации, проведение доработок при необходимости., Консультирование сотрудников отдела кадров и бухгалтерии при работе с программами, оказание поддержки при расчете заработной платы, НДФЛ и формировании регламентированной отчетности., Поддержание в актуальном состоянии кадровой и бухгалтерской отчетности, в том числе нестандартной.|Высшее|От 5 лет|Опыт работы более 5 лет, Хорошее знание СКД, опыт разработки печатных форм в сторонних для 1С форматах (MS Word, Open Office), опыт работы с расширениями, Развитые коммуникационные навыки, Наличие сертификатов 1С по конфигурации ЗУП будет преимуществом., Условия:|18.10.2023 09:31:00|111|
https://joblab.ru/vac10818337.html|Системный администратор|"ООО ""ГЭХ Благоустройство регионы"""|Москва|По договоренности|Полный рабочий день|Работа в крупной развивающейся компании, Официальное трудоустройство согласно ТК РФ, испытательный срок 3 месяца, График работы 5/2, суббота, воскресенье - выходные дни, 8-ми часовой рабочий день, Наличие социального пакета (ДМС после испытательного срока, абонемент в фитнес-клуб), Место работы - г. Москва, ул. Бакунинская, д.71, ближайшие метро - Бауманская, Электрозаводская.|Обеспечение бесперебойной работы систем и сервисов гетерогенной геораспределенной ИТ-инфраструктуры организации, Участие в программе импортозамещения.|Среднее|Не требуется|Опыт работы более 3 лет на аналогичной позиции, Отличное понимание технологий хранения данных (файловые системы, RAID, LVM, NFS, iSCSI), Понимание принципов работы сетевой модели OSI. Опыт администрирования сетевого оборудования (Mikrotik, Huawei, Eltex), Опыт администрирования OS Windows 7/10+, OS Windows Server 2016/ 2019+ (AD, GPO, DFS, WSUS, RDS/RDP, Hyper-V …), Опыт администрирования Linux от 3 лет (CentOS, Ubuntu, РЕД ОС, служба каталогов, виртуализация), Понимание принципов и опыт администрирования СУБД (MS SQL, MySQL, Postgres и т.д.), Администрирование кластеров БД семейства Postgres SQL, MS SQL, Понимание принципов работы и опыт администрирования серверов с 1С Предприятие (Linux/Windows), Опыт администрирования почтовых серверов (MS Exchange, MDaemon, Postfix), уверенные знания почтовых протоколов (SMTP, IMAP, ActiveSync), Опыт администрирования VoIP телефонии на FreePBX (Asterisk, другое), Опыт администрирования продуктов Лаборатории Касперского, Опыт внедрения и администрирования гетерогенной геораспределенной инфраструктуры, Опыт внедрения, поддержания и мониторинга работоспособности критичных сервисов, Резервное копирование и восстановление данных, Опыт работы с системами управления конфигурациями, Траблшутинг проблем различного уровня (производительность машин и дисковой подсистемы, сеть, доступы), Системный подход и ответственность при решении поставленных задач, Приветствуется знание последних трендов отрасли и российского рынка современных ИТ-продуктов и решений, Базовые знания принципов ITIL/ITSM.|18.10.2023 09:31:00|171|
https://joblab.ru/vac11204929.html|Системный администратор|Мосплитка|Подольск|100 000 — 130 000 руб.|Полный рабочий день|Работа в стабильной стремительно развивающейся компании с молодым, приятным и очень квалифицированным коллективом, Офис в г. Подольске, Проспект Юных Ленинцев, 41 (МЦД Силикатная пешком 10 мин или м. Бульвар Дмитрия Донского 8 остановок), Карьерный рост и профессиональное развитие, Корпоративное кафе, Зарплата оклад + премия (обсуждение оклада по итогам собеседования и вашей профессиональной квалификации), График работы - 5/2 с 09.00-18.00 выходные - суббота, воскресенье.|Обязанности:, Поддержка, обеспечение бесперебойной работы IT-инфраструктуры, Внедрение и администрирование сервисов:, Windows Server (8/12/16/19):, AD, DNS, IIS, RDS ферма, 1C кластер сервер + MS SQL, Linux:, Docker, Jira, confluence, Nextcloud, Настройка сетевого оборудования Mikrotik:, DHCP, NAT, Firewall, OSPF, STP, CapsMan, Vlan, L3HW, Vpn, Настройка и администрирование NAS (Asustor, Unraid)., Администрирование гипервизоров Hyper-V, VMware Cloud Director., Техническая поддержка и консультирование пользователей, анализ программных и аппаратных проблем, их устранение., Установка и поддержка систем видеонаблюдения, СКУД., Администрирование виртуальной АТС uiscom., Помощь в настройке банковского ПО, ЭЦП., Будет большим преимуществом:, оптимизация работы MySQL или Nginx при текущих нагрузках, настройка работы гит, поднятие дев сайтов, контейнеров с ними, резервное копирование, опыт построение pipeline для ci cd, запуск процесса с нуля|Среднее специальное|От 3 лет|Аналогичный опыт работы от 3 года|18.10.2023 09:30:00|11|
https://joblab.ru/vac11204934.html|Системный администратор|Мосплитка|Москва|100 000 — 130 000 руб.|Полный рабочий день|Работа в стабильной стремительно развивающейся компании с молодым, приятным и очень квалифицированным коллективом, Офис в г. Подольске, Проспект Юных Ленинцев, 41 (МЦД Силикатная пешком 10 мин или м. Бульвар Дмитрия Донского 8 остановок), Карьерный рост и профессиональное развитие, Корпоративное кафе, Зарплата оклад + премия (обсуждение оклада по итогам собеседования и вашей профессиональной квалификации), График работы - 5/2 с 09.00-18.00 выходные - суббота, воскресенье.|Обязанности:, Поддержка, обеспечение бесперебойной работы IT-инфраструктуры, Внедрение и администрирование сервисов:, Windows Server (8/12/16/19):, AD, DNS, IIS, RDS ферма, 1C кластер сервер + MS SQL, Linux:, Docker, Jira, confluence, Nextcloud, Настройка сетевого оборудования Mikrotik:, DHCP, NAT, Firewall, OSPF, STP, CapsMan, Vlan, L3HW, Vpn, Настройка и администрирование NAS (Asustor, Unraid)., Администрирование гипервизоров Hyper-V, VMware Cloud Director., Техническая поддержка и консультирование пользователей, анализ программных и аппаратных проблем, их устранение., Установка и поддержка систем видеонаблюдения, СКУД., Администрирование виртуальной АТС uiscom., Помощь в настройке банковского ПО, ЭЦП., Будет большим преимуществом:, оптимизация работы MySQL или Nginx при текущих нагрузках, настройка работы гит, поднятие дев сайтов, контейнеров с ними, резервное копирование, опыт построение pipeline для ci cd, запуск процесса с нуля|Среднее специальное|От 3 лет|Аналогичный опыт работы от 3 года|18.10.2023 09:30:00|8|
https://joblab.ru/vac3905990.html|Менеджер абонентского отдела|"ООО ""Рамтел"""|Раменское|от 33 000 руб.|Сменный график|График работы: 2/2, с 9 до 21|Интернет-провайдеру требуется менеджер по работе с клиентами., Обязанности: заключение договоров с абонентами в офисе, прием и распределение звонков, консультирование абонентов.|Среднее специальное|Не требуется|Ответственность, доброжелательность, исполнительность, стрессоустойчивость. Уверенный пользователь ПК.|18.10.2023 09:30:00|172|
https://joblab.ru/vac10818317.html|Специалист технической поддержки|"АНО ""СОЮЗЭКСПЕРТИЗА"" ТПП РФ (SOEX)"|Москва|70 000 руб.|Полный рабочий день|Работа в стабильной компании с хорошей репутацией, дочерней структуре Торгово-промышленной палаты РФ., График работы 5/2 (с 9 до 18 часов), в пятницу до 16.45., Офис в центре Москвы (м. Китай-город, Площадь Революции)., Официальное оформление по ТК РФ, полное соблюдение трудового законодательства., Заработная плата выплачивается 2 раза в месяц без задержек.|"Работа с пользователями АИС ""ЭКСПЕРТИЗА И СЕРТИФИКАЦИЯ"" (функции технической поддержки пользователей, проведение консультаций по вопросам работы в АИС: по телефону, электронной почте, по обращениям, поступающим через АИС)., Сопровождение проведения экспертизы по определению страны происхождения товаров для целей экспорта: мониторинг АИС, регистрация поступающих заявлений на экспертизу, первичная проверка поступающих заявлений по формальным признакам, распределение поступающих заявлений в работу экспертам, контроль соблюдения регламента выполнения экспертизы через АИС, осуществление документооборота по поступающим заявлениям., Работа в АИС, CRM, 1С:Предприятие., Ведение Журналов учета и регистрации обращений., Работа по продвижению Организации и привлечению клиентов на экспертные услуги Организации (формирование баз контактов, формирование коммерческих писем, проведение рассылки предложений, телефонные переговоры с потенциальными клиентами (исходящие звонки и прием входящих обращений)."|Высшее|От 2 лет|Высшее образование (сертификация, проектное управление, таможенное дело, маркетинг/менеджмент)., Опыт работы не менее 1 года., Приветствуется опыт работы в службе технической поддержки электронных систем (например, электронных торговых площадок, электронных государственных или негосударственных систем и баз данных)., Приветствует опыт работы в Системе ТПП России по направлению экспертиза страны происхождения товаров., ПК - уверенный пользователь.|18.10.2023 09:30:00|109|
