|job_source|employer|job_title|job_simple_dis|job_views_value|job_placement_data|job_requirements|job_task|job_conditions|job_city|job_salary|job_employment
0|https://vc.ru/avito/864726-analitik-dannyh-v-napravlenie-incident-i-problem-menedzhment|Авито|Аналитик данных в направление инцидент- и проблем-менеджмент|Самый популярный сервис — онлайн-платформа объявлений в России.|8|03.10.2023 19:02:47 (Europe/Moscow)|Имеете опыт работы аналитиком BI/данных от 2 лет.,Хорошо знаете математическую статистику и умеете анализировать данные.,Имеете опыт работы с A/B-тестами.,Знаете Python, SQL.,Опыт работы с инструментом визуализации данных Redash.,Получили высшее образование в области вычислительной математики, статистики, анализа данных и так далее.,Владеете методиками анализа данных, используя различные инструменты.,Любознательны, умеете договариваться.|Анализировать и понимать, как различные параметры влияют на надежность «Авито», сколько стоит инцидент и как их избегать.,Анализировать ресурсы внутреннего и внешнего облака, понимать, как сделать так, чтобы ресурсов хватило на «Черную пятницу» и/или оптимизировать их для менее важных сервисов в кризисных ситуациях и инцидентах.,Продумывать структуру метрик для оценки различных инициатив и проектов, проектировать модель данных и соответствующую отчетность.,Прогнозировать и отслеживать поведение этих метрик, выявлять ключевые факторы влияния и возможности их изменения.,Обнаруживать с помощью анализа данных различные неэффективности в существующих процессах и их исправлять.|Конкурентная заработная плата (оклад и полугодовой бонус).,Компенсация питания.,Расширенный полис ДМС со стоматологией, страхование жизни, страхование выезжающих за рубеж.,Постоянное развитие: обратная связь руководителя, коллег, личный кошелек на обучение вне компании.,Сильная команда амбициозных коллег с высокой профессиональной экспертизой в различных областях.,Индивидуальный план адаптации и наставник помогут пройти испытательный срок в «Авито».,Самые передовые ИТ-инструменты для эффективного выполнения задач.,Уверенность в качестве предлагаемых продуктов, которые мы постоянно совершенствуем для наших пользователей.,Масштабные корпоративы, онлайн-вечеринки, командные тимбилдинги, вечерние посиделки и игры в PlayStation 5.,Здоровый образ жизни: свой тренажерный зал, занимаемся йогой и делаем функциональные тренировки, а также скидки у партнеров.,Пятидневка, гибридный или удаленный формат работы. Мы предоставляем все необходимое для удаленной работы: технику, софт, онлайн-обучение.|Москва|Зарплата по договорённости|Работа в офисе
1|https://vc.ru/avito/864718-sre-inzhener-v-komandu-infrastructure|Авито|SRE-инженер в команду Infrastructure|Самый популярный сервис — онлайн-платформа объявлений в России.|11|03.10.2023 18:58:49 (Europe/Moscow)|Имеете хорошее представление про устройство Linux, имеете опыт его администрирования, а также знаете, как работает сеть (в том числе в облаках).,Используете подход Infrastructure as a Code и имеете опыт работы с инструментами для оркестрации и управления конфигурациями (Ansible, Puppet, Terraform, Pulumi, Cross Plane).,Знаете один из языков программирования (Go и/или Python).,Любите Kubernetes и все, что с ним связано.,Разбираетесь в принципах проектирования распределенных вычислительных систем.,При необходимости можете быстро погрузиться в незнакомую систему и решить возникшую проблему.|Развивать, оптимизировать и следить за бесперебойной работой высоконагруженных k8s-кластеров.,Развивать автоматические механики (auto-heal, выдача доступов и так далее).,Исследовать и внедрять новые инструменты и компоненты для K8s.,Участвовать в интеграции K8s в платформы (IaaS, PaaS).|Возможность реализовать свои идеи в проекте с многомиллионной аудиторией.,Талантливая команда, готовая поддержать ваши инициативы.,Мощное железо, дополнительные мониторы и все, что нужно для продуктивной работы.,Прозрачная система премий, достойная зарплата — размер обсудим на собеседовании.,Личный бюджет на обучение, который можно тратить на книги, курсы и конференции.,Забота о здоровье: с первого дня у вас будет ДМС со стоматологией, в офисе принимают терапевт и массажист.,Удаленка и замечательный офис в двух минутах от метро «Белорусская»: панорамный вид на центр города, места для уединённой работы и зоны отдыха.|Москва|Зарплата по договорённости|Работа в офисе
2|https://vc.ru/avito/864712-menedzher-po-privlecheniyu-i-uderzhaniyu-klientov-v-komandu-avito-tovary|Авито|Менеджер по привлечению и удержанию клиентов в команду «Авито Товары»|Самый популярный сервис — онлайн-платформа объявлений в России.|12|03.10.2023 18:53:43 (Europe/Moscow)|Имеете опыт b2b-продаж от 1 года.,Имеете опыт в телефонных продажах и холодных звонках.,Обладаете желанием развиваться в сфере продаж.,Умеете сохранять баланс интересов клиента и интересов компании.,Умеете анализировать компании, оценивать потенциал клиентов.,Обладаете настойчивостью и умением аргументировать свою позицию.|Вести телефонные переговоры с разными сегментами бизнеса (малый и средний) по всей России.,Привлекать клиентов на нашу площадку.,Продавать клиентам стратегии работы с сервисом и платные услуги.,Общаться и обмениваться опытом с коллегами, взаимодействовать с командой.|Полностью белая заработная плата, гарантированный оклад + премия без потолка.,Расширенный ДМС и компенсация обедов.,Бесплатные утренние завтраки, фрукты, орехи и другие вкусности в офисе.,Постоянное развитие: обратная связь от тренеров, руководителя, тренинги, оценка компетенций на роль старшего менеджера через год работы.,Индивидуальный план адаптации, наставник, онлайн- и офлайн-обучение.,Гибридный формат работы: выходы в офис + возможность работы из дома.,Предоставляем все необходимое: технику, софт, аксессуары.,Современный и комфортный офис, прекрасный вид на Неву.,Йога, тренажерный зал, корпоративный врач и массажист в офисе.,Масштабные корпоративы, командные тимбилдинги, мафии и квизы, игры в PlayStation 5.|Санкт-Петербург|Зарплата по договорённости|Работа в офисе
3|https://vc.ru/avito/864706-starshiy-issledovatel|Авито|Старший исследователь|Самый популярный сервис — онлайн-платформа объявлений в России.|71|03.10.2023 18:51:33 (Europe/Moscow)|Имеете высшее образование по направлению социологии или психологии.,Более четырех лет самостоятельно самостоятельно ведете проекты в маркетинговых количественных исследованиях.,Умеете анализировать данные в Excel и SPSS.,Владеете различными методами анализа.,Владеете английским языком от уровня Intermediate и готовы его повышать.|Полное ведение исследовательских проектов и предоставление знания о потребителе и рынке своим стейкхолдерам.,Проведение внешних исследований: от брифинга агентств до получения отчетов и анализа результатов.,Проведение внутренних исследований: общение с внутренними заказчиками, написание анкеты, программирование и сбор данных, согласование со всеми внутренними функциями.,Проведение трекинговых исследований: к каждой новой волне проверять изменения в анкете, проверка отчета и топ-лайна, написание выводов по итогам волны.,Документооборот по проектам.,Проведение тендеров на выбор поставщика на внешние проекты.|Сильная команда, готовая поддержать ваши инициативы.,Передовые инструменты для решения задач (мы не экономим на инфраструктуре).,Возможность внешнего и внутреннего обучения за счет компании (курсы, тренинги, лекции, обмен опытом и практиками с зарубежными коллегами).,Гибридный формат работы с возможностью сочетать работу из дома и офиса.,Красивый и комфортный офис в 2 минутах от метро «Белорусская»: панорамный вид на центр города, места для уединенной работы, два спортивных зала, зоны отдыха и гамаки.,Забота о сотрудниках и их здоровье: с первого дня работы вы получите страховку со стоматологией, в офисе ведут приём терапевт, психолог и массажист.,Занятия спортом: два зала с тренажерами и душ, занятия йогой и скидки на абонементы.|Город не указан|Зарплата по договорённости|Занятость не указана
4|https://vc.ru/s/eduson-academy-33021/852257-analitik-metodolog-v-otdel-kontenta|Eduson Аcademy|Аналитик-методолог в отдел контента|Мы — мастера создания онлайн-курсов, делаем знания и новые профессии доступными для всех. Работаем с 2013 года — обучаем более 450 000 человек.|91|03.10.2023 17:00:27 (Europe/Moscow)|Высокие аналитические способности, опыт в исследовательских проектах — будет преимуществом.,Опыт от полугода в разработке методических материалов по направлениям: экономика, финансы, бухгалтерия и менеджмент.,Опыт работы с текстами/дизайном/презентациями (запрашиваем примеры работ) от 1 года.,Знание английского языка от Upper Intermediate.,Грамотный русский язык.,Желание развиваться в EdTech, придерживаться life-long learning concept.,Любовь к данным, аналитический склад ума.,Умение искать любую информацию в интернете.|Аналитический склад ума.,Грамотность.,Поиск и анализ информации.,Навыки работы с текстом.,Дизайн.|Рисерч. Сначала ищете информацию по теме курса или лекций.,Составляете с командой программу курса и текстовое наполнение лекций.,Работа с экспертами. Можете участвовать в процессе записи курса в студии и помогать монтировать лекции.,Собираете курс в программах, создаете дизайн (опыт работы с программами Adobe Illustrator или Figma будут преимуществом).,Помогаете продуктовой команде, команде маркетинга.|Город не указан|от 60 000 ₽|Занятость не указана
5|https://vc.ru/ptsecurity/848213-pr-menedzher|Positive Technologies|PR-менеджер|Лидер результативной кибербезопасности|65|03.10.2023 17:00:27 (Europe/Moscow)|Опыт работы в индустрии информационной безопасности или информационных технологий (понимание принципов продуктового и технологического пиара) не менее трех лет.,Опыт работы в «традиционном» пиаре (взаимодействие с прессой) — наличие личных контактов в СМИ приветствуется, но не является ключевым критерием.,Желателен опыт работы с новыми медиа.,Опыт работы с текстами (написание, редактирование) не менее трех лет.,Успешный опыт работы с внутренними носителями контента.,Высокий уровень грамотности.,Владение иностранными языками (английский — желательно.|Разработка и реализация продуктовых и сервисных PR-кампаний Positive Technologies: формирование медиаплана, ключевых сообщений, плана активностей в социальных медиа и диджитал-поддержки, формирование соответствующего бюджета.,Участие в разработке и реализация PR-кампаний, нацеленных на повышение узнаваемости бренда компании (в том числе работа в области формирования и популяризации HR-бренда).,Работа с внутренней ЦА компании — спикерами и заказчиками.,Контроль и самостоятельная подготовка необходимого для выдачи в публичную зону контента от имени компании: комментарии, статьи, экспертные мнения, видео- и аудиоконтент, истории успеха и прочее (контроль качества контента, наличия ключевых месседжей, фактчекинг, адаптация под различные аудитории и коммуникационные задачи).,Работа со СМИ (в том числе в регионах РФ и странах СНГ): налаживание и поддержание взаимовыгодных отношений, реагирование на запросы, проактивное продвижение тем компании в СМИ.,Работа со смежными департаментами.,Участие в продвижении форума Positive Hack Days и The Standoff: включая работу со СМИ, работу с новыми форматами медиа и социальными сетями, организацию пресс-мероприятий, работу с агентством.,Участие в брендовых корпоративных коммуникациях от имени компании (HR-бренд, имиджевые коммуникации, поддержка специальных стратегических проектов компании) — разработка и реализация PR-планов и кампаний.|Удобный график работы: гибрид, гибкое начало рабочего дня.,Современный офис в бизнес-центре класса А, от метро 30 секунд пешком. Есть душевые и спортивная зона, настольный теннис, библиотека с профессиональной и художественной литературой, настольные игры, оборудованные кухни со снэк-автоматами, печеньем, зерновым кофе, какао и чаем на любой вкус.,Шесть недель оплачиваемого отпуска в год.,Конкурентоспособная белая заработная плата.,Частичная компенсация спорта, возможность присоединиться к футбольной и волейбольным сборным в компании.,Участие в форумах, семинарах, конференциях, обучение за счёт компании.,Полис ДМС со стоматологией с первого месяца работы.|Москва|Зарплата по договорённости|Работа в офисе
6|https://vc.ru/team/259370-middle-ios-razrabotchik-mnogopolzovatelskoy-platformy|vc.ru|Middle iOS-разработчик многопользовательской платформы|Крупнейшая в России и СНГ площадка для предпринимателей нового поколения.|23 067|03.10.2023 13:15:40 (Europe/Moscow)|Мы ищем смелых и самостоятельных специалистов.,Знание принципов ООП, SOLID, DRY, KISS.,ООП и паттерны программирования.,Уверенное знание Swift 5 и основных фреймворков (Foundation, UIKit, AVFoundation).,Понимание принципов работы RESTful сервисов, WebSocket.,Умение писать чистый и аккуратный код, быстро разбираться в чужом.,Будет плюсом: опыт работы с Combine.,Будет плюсом: умение верстать кодом без использования Storyboard и XIB.|В дружелюбной и профессиональной команде вы будете заниматься разработкой высоконагруженных модулей для нашей платформы — на ней работают две площадки (vc.ru, dtf.ru). 20 млн пользователей в месяц.|Никакой бюрократии.,Работа из любой точки мира.,Свободный график.,Без интриг, лентяев и токсичных людей в коллективе.,Прозрачный рост по системе грейдов.,Миллионы пользователей.|Город не указан|от 170 000                    до 250 000 ₽|Занятость не указана
7|https://vc.ru/s/blagotvoritelnyy-fond-pomoshch-44249/732067-menedzher-sluzhby-podderzhki-fandrayzer|Помощь|Менеджер службы поддержки (фандрайзер)|Мы — благотворительный фонд «Помощь». Работаем с 2017 года. Поддерживаем детей и взрослых с тяжёлыми заболеваниями по всей России.|3249|02.10.2023 11:47:38 (Europe/Moscow)|Имеет высшее образование и опыт работы (если в НКО или Службе поддержки, то будет преимуществом).,Инициативный человек с организаторскими навыками.,Способны сами ставить себе задачи и придерживаться дедлайнов.,Уверены в себе, не теряетесь в переговорах.,Умеете грамотно анализировать финансовую информацию и работать с документами.|Ориентирован на результат.,Деловая переписка.,Эффективное принятие решений.,Уверенный пользователь ПК.,Самодисциплина.|Сопровождение полного цикла работы с частными благотворителями: ведение существующей базы благотворителей, поддержка контактов и удержание.,Разработка системы лояльности совместно с командой.,Организация и координация digital- и офлайн-кампаний/акций для привлечения новых благотворителей (самостоятельно и с командой).,Организация кампаний/акций на увеличение рекуррентных поступлений.,Ведение краудфандинговых платформ (полный цикл).,Ежемесячная аналитика и оценка эффективности по поступлениям из разных каналов, анализ ЦА фонда.,Работа с CRM-системой фонда.,Привлечение pro-bono-специалистов для реализации задач по частному фандрайзингу.,Выполнение плана фандрайзинга по частным благотворителям.|Санкт-Петербург|от 50 000                    до 120 000 ₽|Работа в офисе
8|https://vc.ru/s/sputnik8-16006/855170-project-manager|Sputnik8|Project Manager|Крупнейший сервис бронирования экскурсий по всему миру на русском языке.|567|29.09.2023 14:30:26 (Europe/Moscow)|Опыт управления проектами от трех лет.,Опыт работы с гибкими методологиями (Agile, Scrum, Kanban).,Опыт работы с Task Trackers (у нас Asana).,Умение выстраивать конструктивный диалог с заказчиком.,Хороший тайм-менеджмент.,Умение быстро воспринимать и перерабатывать информацию.|Твоим преимуществом будет, если ты знаком с финансовой сферой, налогами и правом.,Будет классно, если ты понимаешь английский на уровне Upper Intermediate.|Реализация существующих проектов в операционном отделе и запуск новых процессов и проектов.,Максимизация прибыли и прозрачности процессов компании.,Планирование работ по проектам (составление планов, структур дорожных карт, приоритизация, отслеживание задач, контроль сроков).,Поиск информации и новых нестандартных решений для реализации стандартных задач.,Много общаться внутри команды, внутри компании и с нужными людьми везде и всегда.,Выявление и минимизация рисков и формирование плана действий при их наступлении.|Санкт-Петербург|Зарплата по договорённости|Работа в офисе
9|https://vc.ru/s/gt-company-51887/856994-frontend-razrabotchik|GT Company|Frontend-разработчик|Маркетинговое агентство.|1051|28.09.2023 18:43:02 (Europe/Moscow)|Уверенное знание HTML/CSS, JS.,Умение работать с изображениями, работа в Photoshop или аналогах.,Преимуществом будет: знание jQuery, PHP, SQL.|Верстать лендинги по техническому заданию.,Копировать лендинги по существующим страницам.,Поддерживать действующие проекты.|Оплачиваемый тестовый период.,Зарплата обсуждается по результатам собеседования.|Город не указан|от 50 000 ₽|Занятость не указана
